Date,Apple Inc. (AAPL),Microsoft Corp. (MSFT),Amazon.com Inc. (AMZN),Facebook Inc. Cl A (FB),Alphabet Inc. Cl A (GOOGL),Alphabet Inc. Cl C (GOOG),Tesla Inc. (TSLA),Berkshire Hathaway Inc. Cl B (BRK.B),NVIDIA Corp. (NVDA),JPMorgan Chase & Co. (JPM),Johnson & Johnson (JNJ),Visa Inc. Cl A (V),UnitedHealth Group Inc. (UNH),PayPal Holdings Inc. (PYPL),Home Depot Inc. (HD),Procter & Gamble Co. (PG),Mastercard Inc. (MA),Walt Disney Co. (DIS),Bank of America Corp. (BAC),Adobe Inc. (ADBE),Exxon Mobil Corp. (XOM),Comcast Corp. Cl A (CMCSA),Netflix Inc. (NFLX),Verizon Communications Inc. (VZ),Intel Corp. (INTC)
10/26/2020,115.05,210.08,3207.04,277.11,1584.29,1590.45,420.28,208.49,131.41,101.24,143.97,193.07,323.06,197.22,276.04,141.30,318.06,124.06,24.54,475.20,33.35,43.77,488.24,57.81,46.72
10/23/2020,115.04,216.23,3204.40,284.79,1632.98,1641.00,420.63,212.71,135.90,103.81,145.24,198.01,330.60,203.04,283.00,142.38,329.61,128.35,24.90,488.50,34.16,45.06,488.28,57.96,48.20
10/22/2020,115.75,214.89,3176.40,278.12,1606.66,1615.33,425.79,211.61,133.61,102.88,145.08,197.99,325.73,203.93,281.16,141.45,333.60,127.56,24.87,483.60,34.86,45.11,485.23,57.33,53.90
10/21/2020,116.87,214.80,3184.94,278.73,1585.99,1593.31,422.64,210.18,135.25,99.37,143.93,198.43,322.79,213.07,284.51,143.25,333.42,126.63,24.05,495.96,33.16,44.52,489.05,56.75,53.50
10/20/2020,117.51,214.65,3217.01,267.56,1551.08,1555.93,421.94,210.06,136.46,100.37,144.55,197.70,323.41,201.96,286.04,142.48,331.72,124.95,24.14,494.58,33.70,44.27,525.42,57.25,53.43
10/19/2020,115.98,214.22,3207.21,261.40,1529.95,1534.61,430.83,208.99,134.98,99.80,144.32,196.97,324.22,200.06,283.73,141.91,331.67,124.23,23.72,495.20,33.42,44.33,530.72,57.30,54.58
10/16/2020,119.02,219.66,3272.71,265.93,1567.70,1573.01,439.67,211.91,138.12,101.51,148.10,200.26,329.90,204.45,287.66,144.39,339.40,126.81,24.24,502.82,34.10,45.56,530.79,58.05,54.16
10/15/2020,120.71,219.66,3338.65,266.72,1555.47,1559.13,448.88,211.65,139.70,101.72,147.19,199.55,324.57,203.14,287.54,143.83,338.57,127.36,24.15,501.15,34.45,45.11,541.94,58.16,53.85
10/14/2020,121.19,220.86,3363.71,271.82,1563.44,1568.08,461.30,210.91,140.95,100.22,148.10,202.20,321.85,203.60,287.09,144.04,342.70,126.59,23.62,506.31,34.15,45.28,541.45,58.43,53.55
10/13/2020,121.10,222.86,3443.63,276.14,1567.07,1571.68,446.65,212.31,142.48,100.78,148.36,204.32,331.42,207.74,290.36,144.21,345.84,128.96,24.95,514.31,34.22,45.89,554.09,59.36,53.83
10/12/2020,124.40,221.40,3442.93,275.75,1564.59,1569.15,442.30,216.41,142.26,102.44,151.84,206.40,329.97,201.51,286.91,144.49,352.04,124.97,25.68,510.89,34.63,45.99,539.81,59.55,53.88
10/09/2020,116.97,215.81,3286.65,264.45,1510.45,1515.22,434.00,215.68,137.63,101.20,150.97,206.64,327.84,197.27,285.92,142.92,352.39,124.98,25.36,502.16,34.74,44.85,539.44,59.33,52.82
10/08/2020,114.97,210.58,3190.55,263.76,1483.43,1485.93,425.92,215.15,138.39,101.78,148.89,202.98,322.41,193.06,284.52,141.65,345.15,123.09,25.24,490.84,35.26,45.30,531.79,59.19,53.37
10/07/2020,115.08,209.83,3195.69,258.12,1459.14,1460.29,425.30,213.29,139.64,99.73,147.88,202.47,323.17,194.61,282.79,140.70,343.90,122.91,24.88,493.15,33.50,44.96,534.66,59.61,52.67
10/06/2020,113.16,205.91,3099.96,258.66,1451.02,1453.44,413.98,210.26,137.37,98.02,146.26,200.45,314.45,191.66,276.47,139.61,337.43,120.93,24.37,478.98,33.39,44.51,505.87,59.46,51.37
10/05/2020,116.50,210.38,3199.20,264.65,1482.83,1486.02,425.68,212.36,136.43,99.04,148.23,203.54,318.15,196.85,282.10,139.39,343.25,123.37,24.62,486.47,33.74,45.81,520.65,59.66,51.69
10/02/2020,113.02,206.19,3125.00,259.94,1455.60,1458.42,415.09,211.18,130.62,97.89,146.24,201.46,311.98,191.91,279.31,138.12,338.83,122.55,24.21,478.99,32.98,45.15,503.06,59.24,51.01
10/01/2020,116.79,212.46,3221.26,266.63,1487.90,1490.09,448.16,212.02,136.15,96.97,147.32,203.35,313.07,196.94,277.62,139.24,343.37,123.31,24.10,499.51,33.13,46.44,527.51,59.45,52.24
09/30/2020,115.81,210.33,3148.73,261.90,1465.60,1469.60,429.01,212.94,135.31,96.27,148.88,199.97,311.77,197.03,277.71,138.99,338.17,124.08,24.09,490.43,34.33,46.26,500.03,59.49,51.78
09/29/2020,114.09,207.26,3144.88,261.79,1466.02,1469.33,419.07,210.44,132.26,95.35,147.06,199.44,304.15,194.50,272.11,137.26,336.23,125.40,23.77,489.33,34.28,46.20,493.48,59.24,51.19
09/28/2020,114.96,209.44,3174.05,256.82,1458.66,1464.52,421.20,213.54,130.35,96.16,147.11,200.32,303.23,192.02,272.33,138.01,338.39,125.99,24.09,488.51,35.31,46.76,490.65,59.36,51.43
09/25/2020,112.28,207.82,3095.13,254.82,1439.06,1444.96,407.34,210.45,128.74,93.47,145.66,197.25,302.50,187.25,268.55,137.62,331.78,124.00,23.49,479.78,34.64,46.15,482.88,59.39,49.94
09/24/2020,108.22,203.19,3019.79,249.53,1422.86,1428.29,387.79,208.72,123.48,92.66,144.67,195.52,292.66,182.19,265.70,136.92,328.21,122.49,23.34,467.67,34.32,45.70,473.08,59.19,49.16
09/23/2020,107.12,200.59,2999.86,249.02,1409.39,1415.21,380.36,209.61,121.24,92.74,144.44,195.37,292.14,181.61,266.55,136.31,324.53,123.28,23.26,470.39,34.39,45.36,470.61,58.91,48.82
09/22/2020,111.81,207.42,3128.99,254.75,1459.82,1465.46,424.23,214.16,126.38,94.27,144.21,200.56,294.26,187.78,273.31,137.96,335.31,127.21,23.94,486.78,35.53,46.19,491.17,59.82,49.95
09/21/2020,110.08,202.54,2960.47,248.15,1430.14,1431.16,449.39,213.02,125.17,95.31,145.10,197.45,299.19,183.21,272.35,136.71,327.85,125.41,24.47,475.64,36.43,44.68,487.35,59.61,49.72
09/18/2020,106.84,200.39,2954.91,252.53,1451.09,1459.99,442.15,218.21,121.89,98.35,149.18,202.61,308.02,176.07,275.19,137.37,335.26,128.63,25.21,467.55,37.19,45.26,469.96,60.35,49.89
09/17/2020,110.34,202.91,3008.73,254.82,1487.04,1495.53,423.43,218.05,124.64,98.56,147.17,205.27,304.98,175.79,279.96,137.52,339.43,130.22,25.35,474.30,37.80,45.58,470.20,60.59,50.32
09/16/2020,112.13,205.05,3078.10,263.52,1512.09,1520.90,441.76,219.59,125.15,99.70,148.40,205.13,306.52,180.91,281.63,137.70,341.85,132.09,25.60,476.00,37.81,46.81,483.86,60.37,50.37
09/15/2020,115.54,208.78,3156.13,272.42,1535.12,1541.44,449.76,218.94,129.91,99.28,148.89,205.39,307.23,186.02,285.58,138.63,339.14,131.24,25.28,497.67,36.27,46.46,495.99,60.60,50.00
09/14/2020,115.36,205.41,3102.97,266.15,1508.83,1519.28,419.62,219.94,128.72,102.47,148.35,204.98,308.57,186.96,280.65,138.63,338.60,131.25,25.75,485.91,36.66,45.27,476.26,60.32,49.41
09/11/2020,112.00,204.03,3116.22,266.61,1515.76,1520.72,372.72,217.93,121.65,101.07,147.78,200.68,301.48,184.00,276.33,138.14,330.15,131.75,25.50,471.35,36.90,44.67,482.03,59.79,49.28
09/10/2020,113.49,205.37,3175.11,268.09,1526.05,1532.02,371.34,217.80,123.12,99.83,146.91,201.54,304.60,190.09,272.70,136.70,332.88,133.22,25.14,476.26,37.00,44.02,480.67,59.53,48.96
09/09/2020,117.32,211.29,3268.61,273.72,1547.23,1556.96,366.28,219.63,127.15,100.87,149.70,204.06,312.02,194.60,277.04,138.15,339.64,133.36,25.51,479.46,37.95,44.60,500.19,60.04,49.62
09/08/2020,112.82,202.66,3149.84,271.16,1523.60,1532.39,330.21,217.80,119.13,99.92,147.26,200.12,307.25,185.95,269.26,135.94,329.88,134.20,25.48,462.13,38.18,43.81,507.02,59.96,48.91
09/04/2020,120.96,214.25,3294.62,282.73,1581.21,1591.04,418.32,218.32,126.23,103.52,148.59,204.66,312.00,191.84,269.66,137.96,335.01,131.99,26.54,491.94,39.08,44.43,516.05,60.48,50.08
09/03/2020,120.88,217.30,3368.00,291.12,1629.51,1641.84,407.00,218.15,130.16,101.33,149.55,208.96,316.23,204.99,274.63,138.26,343.84,133.24,25.66,507.80,39.11,44.44,525.75,60.61,50.39
09/02/2020,131.40,231.65,3531.45,302.50,1717.39,1728.28,447.37,221.68,143.47,101.65,153.83,216.48,320.24,210.82,287.20,140.51,360.70,135.39,26.02,533.80,39.19,45.17,552.84,60.53,52.25
09/01/2020,134.18,227.27,3499.12,295.44,1655.08,1660.71,475.05,218.55,138.21,100.14,151.52,213.35,312.83,208.93,285.94,138.18,356.90,133.55,25.71,527.95,39.43,45.05,556.55,59.16,50.79
08/31/2020,129.04,225.53,3450.96,293.20,1629.53,1634.18,498.32,218.04,133.75,100.19,153.41,211.99,312.55,204.14,285.04,138.33,358.19,131.87,25.74,513.39,39.94,44.81,529.56,59.27,50.95
08/28/2020,124.81,228.91,3401.80,293.66,1639.43,1644.41,442.68,218.55,131.48,102.77,153.64,215.71,314.37,204.48,286.29,138.77,366.12,135.54,26.30,516.44,40.69,44.56,523.89,59.26,50.43
08/27/2020,125.01,226.58,3400.00,293.22,1628.52,1634.33,447.75,216.87,126.28,102.35,152.98,211.03,311.67,204.34,288.63,138.21,356.00,133.73,26.05,510.32,39.74,44.54,526.27,59.43,49.40
